p1,p2
0,-88.09988903
0,49.72240688
0,326.4521404
0,-8.367650212
0,75.81892589
0,256.6611724
0,-87.09618113
0,30.71890426
0,160.676694
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,39.80557109
0,3.814074834
0,70.3562364
59.59917515,77.90524292
6.31698568,5.82634203
315.6295297,100.7223908
0,-85.46620885
0,-38.101448
0,289.0276803
0,0
0,0
0,0
-57.53783357,-77.82854179
-54.5827788,-68.42869281
272.7766583,139.1509971
0,0
0,0
0,0
0,0
0,0
0,0
58.79949409,0
-21.28389987,0
214.237455,0
0,15.47955954
0,-80.49848725
0,204.3945855
80.62293931,0
-51.49352531,0
175.9943181,0
0,0
0,0
0,0
-114.436434,-111.1155069
173.9518183,147.2883232
371.9511538,307.4166554
0,-150.8626584
0,117.7490561
0,366.588325
0,-113.7723488
0,134.6609757
0,250.1999201
107.4149249,0
159.7556701,0
365.6649152,0
139.6895444,0
141.7889746,0
407.6505857,0
0,0
0,0
0,0
155.0594245,0
123.2909989,0
431.2064471,0
0,0
0,0
0,0
0,-90.7848246
0,-120.2849283
0,144.7584194
-138.6806222,0
-164.8459319,0
369.261425,0
0,0
0,0
0,0
0,117.8425611
0,-121.0437307
0,329.7679254
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
