"","p1","p2"
"1",227,2
"2",227,4
"3",160,2
"4",183,-1
"5",116,-6
"6",150,-4
"7",158,-5
"8",53,-3
"9",140,-3
"10",138,-2
"11",149,-2
"12",158,-2
"13",345,-2
"14",361,-2
"15",257,-1
"16",44,0
"17",337,-1
"18",152,0
"19",134,0
"20",147,1
"21",170,-8
"22",105,-3
"23",152,-4
"24",128,-4
"25",157,0
"26",139,8
"27",366,11
"28",175,3
"29",182,0
"30",120,0
"31",342,-8
"32",153,13
"33",229,-4
"34",190,-6
"35",166,-6
"36",330,-3
"37",192,-2
"38",366,-2
"39",140,-1
"40",40,-1
"41",91,-1
"42",52,24
"43",248,0
"44",144,-8
"45",41,-1
"46",146,-3
"47",91,-2
"48",151,8
"49",63,-2
"50",243,1
"51",380,1
"52",323,-4
"53",191,-3
"54",149,-7
"55",294,0
"56",362,-5
"57",161,-5
"58",143,-4
"59",142,-3
"60",233,-9
"61",156,-4
"62",164,-3
"63",126,-2
"64",361,-2
"65",159,-1
"66",156,-1
"67",105,-6
"68",164,-1
"69",188,1
"70",381,2
"71",135,9
"72",190,-4
"73",159,-3
"74",156,2
"75",134,-3
"76",147,-2
"77",153,-2
"78",254,-6
"79",338,-1
"80",238,-5
"81",254,-3
"82",238,-4
"83",356,-1
"84",64,-3
"85",167,3
"86",145,47
"87",54,-3
"88",350,-3
"89",137,-6
"90",249,0
"91",158,-4
"92",358,13
"93",164,-6
"94",349,13
"95",378,0
"96",373,0
"97",148,39
"98",140,-3
"99",249,2
"100",96,-7
